From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
7zrc	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8r1c	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7zce	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7xka	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
6vms	D9IEF7	unreviewed	D9IEF7_BPT4	Endolysin	e T4Tp126	Enterobacteria phage T4	164
8qtd	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8kg5	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7xk9	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
5xf1	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
7zr7	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8qpr	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
9fgt	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8thk	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
8thl	P00720	reviewed	ENLYS_BPT4	Endolysin	E	Enterobacteria phage T4	164
8qq0	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
9fgs	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
7zr9	P10104	reviewed	WAC_BPT4	Fibritin	wac	Enterobacteria phage T4	487
8zhe	A0A346FJN8	unreviewed	A0A346FJN8_BPT6	Fibritin	wac EcT6_00157	Enterobacteria phage T6	487
8zhg	A0A346FJN8	unreviewed	A0A346FJN8_BPT6	Fibritin	wac EcT6_00157	Enterobacteria phage T6	487
8sm1	P03200	reviewed	GP350_EBVB9	Envelope glycoprotein GP350	BLLF1	Epstein-Barr virus	907
7s07	P03231	reviewed	GH_EBVB9	Envelope glycoprotein H	gH BXLF2	Epstein-Barr virus	706
7s07	P03212	reviewed	GL_EBVB9	Envelope glycoprotein L	gL BKRF2	Epstein-Barr virus	137
7s1b	P03212	reviewed	GL_EBVB9	Envelope glycoprotein L	gL BKRF2	Epstein-Barr virus	137
7s1b	P03231	reviewed	GH_EBVB9	Envelope glycoprotein H	gH BXLF2	Epstein-Barr virus	706
8khr	Q3KSQ3	reviewed	GH_EBVG	Envelope glycoprotein H	gH BXLF2	Epstein-Barr virus	706
8khr	P0C6Z5	reviewed	GP42_EBVG	Glycoprotein 42	BZLF2	Epstein-Barr virus	223
8khr	Q3KSS3	reviewed	GL_EBVG	Envelope glycoprotein L	gL BKRF2	Epstein-Barr virus	137
7s07	P0C6Z5	reviewed	GP42_EBVG	Glycoprotein 42	BZLF2	Epstein-Barr virus	223
7s1b	P0C6Z5	reviewed	GP42_EBVG	Glycoprotein 42	BZLF2	Epstein-Barr virus	223
8w8q	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w56	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8hn8	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
6cbv	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8fdo	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7wj5	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
6x58	Q6J5N4	unreviewed	Q6J5N4_ECOLX	Fluoride-specific ion channel FluC	crcB crcB_2 flc_2 fluC AKG29_01220 B6R31_005152 BANRA_05655 C2M16_27610 C9160_28010 CCS08_28400 CF22_004922 CWS33_26140 D9J61_22795 DNQ45_14105 ECS286_0026 EIA08_25210 EIZ93_19245 EN85_004657 EPS76_20210 ExPECSC038_03841 EXX87_27755 F9413_22620 FGAF862_45450 FGAS159_44840 FZU14_25965 G3W53_24200 GAI89_25135 HIE29_005335 HL601_24225 HLZ50_24015 IFC14_005208 NCTC9001_00147 NCTC9077_06349 OFN31_23365 pCTXM15_EC8_00123 pO103_22 QO046_28435 RCS79_P0115 SAMEA4370473_00090	Escherichia coli	126
7w0l	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w0p	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8hnm	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w0m	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8hnk	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w0o	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w57	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8j7e	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w55	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8w8b	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8yzk	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8hs3	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7w53	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8k8j	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
6wha	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8hoc	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
7myz	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8x2k	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8hnl	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8ibu	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
6usf	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8ibv	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
8jpn	P0ABE7	reviewed	C562_ECOLX	Soluble cytochrome b562	cybC	Escherichia coli	128
5bjz	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
2fed	P37019	reviewed	CLCA_ECOLI	H/Cl exchange transporter ClcA	clcA eriC yadQ b0155 JW5012	Escherichia coli	473
2fee	P37019	reviewed	CLCA_ECOLI	H/Cl exchange transporter ClcA	clcA eriC yadQ b0155 JW5012	Escherichia coli	473
5bk2	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
2fec	P37019	reviewed	CLCA_ECOLI	H/Cl exchange transporter ClcA	clcA eriC yadQ b0155 JW5012	Escherichia coli	473
7mn8	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
8hlb	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
3pgf	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
7w40	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
7w3z	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
5bk1	P0AEX9	reviewed	MALE_ECOLI	Maltose/maltodextrin-binding periplasmic protein	malE b4034 JW3994	Escherichia coli	396
5u5m	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
4hjg	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
5u5f	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
5u3d	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
4hkz	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
4ioi	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
5u6a	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
1hez	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
6b9y	Q51918	unreviewed	Q51918_FINMA	Protein L		Finegoldia magna	992
4ttd	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
2eiz	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4tsb	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4n1c	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
2yss	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4u3x	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4n1e	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
2eks	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
1bvk	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4tsa	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4tsc	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
4pgj	P00698	reviewed	LYSC_CHICK	Lysozyme C	LYZ	Gallus gallus	147
6o1f	P01070	reviewed	ITRA_SOYBN	Trypsin inhibitor A	KTI3	Glycine max	216
5esv	P44815	reviewed	ISPF_HAEIN	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	ispF HI_0671	Haemophilus influenzae	158
6cmg	O89343	reviewed	GLYCP_HENDH	Glycoprotein G	G	Hendra virus	604
6vy6	O89343	reviewed	GLYCP_HENDH	Glycoprotein G	G	Hendra virus	604
6cmi	O89343	reviewed	GLYCP_HENDH	Glycoprotein G	G	Hendra virus	604
6vy4	O89343	reviewed	GLYCP_HENDH	Glycoprotein G	G	Hendra virus	604
8tzy	A0A2P0NE18	unreviewed	A0A2P0NE18_9HEPC	Genome polyprotein		Hepacivirus hominis	576
6mek	H2FJ05	unreviewed	H2FJ05_9HEPC	Genome polyprotein		Hepacivirus hominis	1651
7rfb	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
6urh	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
8w0v	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
6meh	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
8w0w	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
6mei	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
8fsj	Q81387	unreviewed	Q81387_9HEPC	Genome polyprotein	E1	Hepacivirus hominis	192
8w0y	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
8fsj	A0A2P0NE15	unreviewed	A0A2P0NE15_9HEPC	Genome polyprotein		Hepacivirus hominis	576
6mej	C1KH25	unreviewed	C1KH25_9HEPC	Genome polyprotein		Hepacivirus hominis	576
8w0x	A0A2P0NE26	unreviewed	A0A2P0NE26_9HEPC	Genome polyprotein		Hepacivirus hominis	576
6woq	P27958	reviewed	POLG_HCV77	Genome polyprotein		Hepatitis C virus genotype 1a	3011
6wo5	P27958	reviewed	POLG_HCV77	Genome polyprotein		Hepatitis C virus genotype 1a	3011
6uyd	P27958	reviewed	POLG_HCV77	Genome polyprotein		Hepatitis C virus genotype 1a	3011
4mwf	P27958	reviewed	POLG_HCV77	Genome polyprotein		Hepatitis C virus genotype 1a	3011
8tgv	X4ZFZ7	unreviewed	X4ZFZ7_9HEPC	Genome polyprotein		Hepatitis C virus subtype 1b	568
8thz	X4ZFZ7	unreviewed	X4ZFZ7_9HEPC	Genome polyprotein		Hepatitis C virus subtype 1b	568
8pn0	A0A6C0PR31	unreviewed	A0A6C0PR31_HEV	Capsid protein		Hepatitis E virus	248
8pmz	C4B4T9	unreviewed	C4B4T9_HEV	Pro-secreted protein ORF2		Hepatitis E virus	673
8pmx	E0XL23	unreviewed	E0XL23_9VIRU	Pro-secreted protein ORF2		Hepatitis E virus rat/R63/DEU/2009	644
3hmx	P29460	reviewed	IL12B_HUMAN	Interleukin-12 subunit beta	IL12B NKSF2	Homo sapiens	328
1adq	P01861	reviewed	IGHG4_HUMAN	Immunoglobulin heavy constant gamma 4	IGHG4	Homo sapiens	396
8jnr	Q96Q83	reviewed	ALKB3_HUMAN	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3	ALKBH3 ABH3 DEPC1	Homo sapiens	286
6wmw	Q6UXV0	reviewed	GFRAL_HUMAN	GDNF family receptor alpha-like	GFRAL C6orf144 UNQ9356/PRO34128	Homo sapiens	394
8wst	Q969V1	reviewed	MCHR2_HUMAN	Melanin-concentrating hormone receptor 2	MCHR2 GPR145 SLT	Homo sapiens	340
8wst	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8wst	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2	GNG2	Homo sapiens	71
8wst	P20382	reviewed	MCH_HUMAN	Pro-MCH	PMCH MCH	Homo sapiens	165
3k2u	Q04756	reviewed	HGFA_HUMAN	Hepatocyte growth factor activator	HGFAC	Homo sapiens	655
5nh3	P27037	reviewed	AVR2A_HUMAN	Activin receptor type-2A	ACVR2A ACVR2	Homo sapiens	513
6wjl	Q8N158	reviewed	GPC2_HUMAN	Glypican-2	GPC2	Homo sapiens	579
2h32	P15814	reviewed	IGLL1_HUMAN	Immunoglobulin lambda-like polypeptide 1	IGLL1 IGL1	Homo sapiens	213
6u36	Q8NBP7	reviewed	PCSK9_HUMAN	Proprotein convertase subtilisin/kexin type 9	PCSK9 NARC1 PSEC0052	Homo sapiens	692
2h32	P12018	reviewed	VPREB_HUMAN	Immunoglobulin iota chainB protein)	VPREB1 VPREB	Homo sapiens	145
8tbb	Q8TDQ0	reviewed	HAVR2_HUMAN	Hepatitis A virus cellular receptor 2	HAVCR2 TIM3 TIMD3	Homo sapiens	301
5vic	S6B291	unreviewed	S6B291_HUMAN	IgG H chain		Homo sapiens	466
5vic	P0DOX7	reviewed	IGK_HUMAN	Immunoglobulin kappa light chain		Homo sapiens	214
8trt	P29317	reviewed	EPHA2_HUMAN	Ephrin type-A receptor 2	EPHA2 ECK	Homo sapiens	976
3hmx	P29459	reviewed	IL12A_HUMAN	Interleukin-12 subunit alpha	IL12A NKSF1	Homo sapiens	219
8fja	Q861F7	unreviewed	Q861F7_HUMAN	MHC class I antigen	HLA-A	Homo sapiens	341
8fja	P61769	reviewed	B2MG_HUMAN	Beta-2-microglobulin	B2M CDABP0092 HDCMA22P	Homo sapiens	119
8xqr	Q9NYV8	reviewed	T2R14_HUMAN	Taste receptor type 2 member 14	TAS2R14	Homo sapiens	317
2ny1	Q6P5S8	unreviewed	Q6P5S8_HUMAN	IGK@ protein	IGK@	Homo sapiens	236
8eit	P62873	reviewed	GBB1_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	GNB1	Homo sapiens	340
8xqr	P63092	reviewed	GNAS2_HUMAN	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	GNAS GNAS1 GSP	Homo sapiens	394
7xjk	O43603	reviewed	GALR2_HUMAN	Galanin receptor type 2	GALR2 GALNR2	Homo sapiens	387
5ugy	S6C4S0	unreviewed	S6C4S0_HUMAN	IgG H chain		Homo sapiens	275
5ggr	Q15116	reviewed	PDCD1_HUMAN	Programmed cell death protein 1	PDCD1 PD1	Homo sapiens	288
5ugy	Q8N355	unreviewed	Q8N355_HUMAN	IGL@ protein	IGL@	Homo sapiens	234
7t17	P0DOX5	reviewed	IGG1_HUMAN	Immunoglobulin gamma-1 heavy chain		Homo sapiens	449
7t17	B9A064	reviewed	IGLL5_HUMAN	Immunoglobulin lambda-like polypeptide 5	IGLL5	Homo sapiens	214
2ny1	Q6N030	unreviewed	Q6N030_HUMAN	Ig-like domain-containing protein	DKFZp686I15212	Homo sapiens	518
8jen	Q495A1	reviewed	TIGIT_HUMAN	T-cell immunoreceptor with Ig and ITIM domains	TIGIT VSIG9 VSTM3	Homo sapiens	244
6udk	S6C4S0	unreviewed	S6C4S0_HUMAN	IgG H chain		Homo sapiens	275
